EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
231,32,No,Travel_Rarely,Research & Development,6,5,Life Sciences,1,3,Male,Research Scientist,3,Single,3038,3,No,20,4,1,0,8,2,3,5,4,1,4
233,27,No,Travel_Rarely,Research & Development,17,3,Technical Degree,1,3,Male,Research Scientist,2,Married,3058,0,Yes,16,3,4,1,6,3,2,5,2,1,1
235,19,Yes,Travel_Frequently,Sales,1,1,Technical Degree,1,3,Female,Sales Representative,1,Single,2325,0,No,21,4,1,0,1,5,4,0,0,0,0
238,36,No,Travel_Frequently,Research & Development,3,2,Medical,1,4,Male,Laboratory Technician,2,Single,2088,4,No,12,3,3,0,13,3,2,8,7,7,2
239,30,No,Non-Travel,Research & Development,9,3,Medical,1,3,Male,Laboratory Technician,1,Divorced,3072,1,No,11,3,3,2,12,4,3,12,9,6,10
240,45,No,Travel_Rarely,Sales,4,2,Life Sciences,1,3,Female,Sales Executive,1,Divorced,5006,4,Yes,11,3,1,1,9,3,4,5,4,0,3
241,56,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,3,Female,Research Scientist,1,Divorced,4257,4,Yes,18,3,3,1,19,3,3,2,2,2,2
242,33,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,3,Male,Research Scientist,4,Single,2500,0,No,14,3,1,0,4,2,4,3,1,0,2
243,19,Yes,Travel_Rarely,Research & Development,2,3,Life Sciences,1,2,Male,Laboratory Technician,4,Single,1102,1,No,22,4,3,0,1,3,2,1,0,1,0
244,46,No,Travel_Rarely,Sales,1,2,Marketing,1,2,Female,Sales Executive,1,Divorced,10453,1,No,25,4,3,3,24,2,3,24,13,15,7
245,38,No,Travel_Rarely,Research & Development,9,2,Life Sciences,1,3,Female,Laboratory Technician,4,Single,2288,1,No,12,3,3,0,2,3,3,2,2,2,1
246,31,No,Travel_Rarely,Research & Development,12,1,Medical,1,3,Female,Research Scientist,4,Married,3929,8,Yes,23,4,3,1,7,0,3,4,2,0,2
247,34,No,Travel_Rarely,Research & Development,27,2,Medical,1,4,Female,Research Scientist,2,Single,2311,2,No,15,3,4,0,9,3,3,3,2,1,2
248,41,Yes,Travel_Rarely,Sales,20,2,Marketing,1,2,Female,Sales Representative,2,Single,3140,1,Yes,22,4,4,0,4,5,2,4,3,0,2
249,50,No,Travel_Rarely,Research & Development,1,3,Medical,1,3,Male,Laboratory Technician,3,Married,3690,2,No,15,3,4,1,5,2,2,3,2,0,2
250,53,No,Travel_Rarely,Research & Development,13,2,Medical,1,4,Female,Manufacturing Director,1,Divorced,4450,1,No,11,3,3,2,5,3,3,4,2,1,3
252,33,No,Travel_Rarely,Research & Development,14,3,Medical,1,4,Female,Research Scientist,2,Married,2756,1,No,13,3,4,1,8,5,3,8,7,1,6
253,40,No,Travel_Rarely,Research & Development,4,1,Medical,1,4,Female,Manager,3,Married,19033,1,No,14,3,2,1,21,2,3,20,8,9,9
254,55,No,Travel_Rarely,Research & Development,14,4,Medical,1,3,Male,Research Director,2,Single,18722,8,No,11,3,4,0,36,3,3,24,15,2,15
256,34,No,Travel_Frequently,Research & Development,2,1,Life Sciences,1,4,Male,Manufacturing Director,3,Married,9547,1,No,17,3,3,0,10,2,2,10,9,1,9
258,51,No,Travel_Rarely,Research & Development,3,3,Medical,1,4,Female,Healthcare Representative,2,Single,13734,3,No,18,3,3,0,21,6,3,7,7,1,0
259,52,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,3,Male,Manager,3,Married,19999,0,No,14,3,1,1,34,5,3,33,18,11,9
260,27,No,Travel_Rarely,Research & Development,9,3,Medical,1,4,Female,Research Scientist,2,Single,2279,1,No,16,3,4,0,7,2,2,7,7,0,3
261,35,Yes,Travel_Rarely,Research & Development,23,2,Life Sciences,1,2,Male,Manufacturing Director,3,Married,5916,3,Yes,13,3,1,0,8,1,3,1,0,0,1
262,43,No,Non-Travel,Research & Development,7,3,Medical,1,4,Male,Research Scientist,4,Divorced,2089,4,No,14,3,4,3,7,3,4,5,4,2,2
264,45,No,Non-Travel,Research & Development,2,2,Medical,1,1,Male,Manager,4,Married,16792,9,No,23,4,4,1,22,1,3,20,8,11,8
267,37,No,Travel_Rarely,Research & Development,21,3,Life Sciences,1,2,Male,Research Scientist,1,Married,3564,1,Yes,12,3,1,1,8,3,2,8,7,1,7
269,35,No,Travel_Frequently,Research & Development,2,3,Medical,1,2,Female,Laboratory Technician,2,Single,4425,5,No,11,3,4,0,10,5,3,6,2,1,2
270,42,No,Non-Travel,Research & Development,21,2,Medical,1,3,Female,Manufacturing Director,3,Divorced,5265,2,No,16,3,2,1,11,5,3,5,3,0,2
271,38,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,4,Male,Manufacturing Director,3,Married,6553,9,No,14,3,2,0,14,3,3,1,0,0,0
273,38,No,Travel_Rarely,Research & Development,29,3,Technical Degree,1,4,Male,Manufacturing Director,4,Married,6261,3,No,18,3,1,1,9,3,1,7,7,1,7
274,27,No,Travel_Frequently,Research & Development,1,1,Technical Degree,1,3,Male,Manufacturing Director,1,Married,4298,5,No,19,3,3,1,6,1,3,2,2,2,0
275,49,No,Non-Travel,Research & Development,18,4,Life Sciences,1,4,Male,Manufacturing Director,4,Divorced,6804,1,Yes,15,3,1,2,7,0,3,7,7,1,7
277,34,No,Travel_Frequently,Research & Development,10,4,Medical,1,4,Male,Research Scientist,3,Divorced,3815,1,Yes,17,3,4,1,5,4,4,5,3,2,0
281,40,No,Travel_Rarely,Research & Development,19,2,Medical,1,3,Male,Laboratory Technician,4,Married,2741,8,Yes,15,3,3,1,15,2,4,7,2,3,7
282,38,Yes,Travel_Rarely,Research & Development,29,1,Medical,1,2,Male,Healthcare Representative,1,Married,6673,7,Yes,19,3,2,0,17,2,3,1,0,0,0
283,29,Yes,Travel_Rarely,Sales,27,3,Marketing,1,2,Female,Sales Executive,4,Married,7639,1,No,22,4,4,3,10,3,2,10,4,1,9
284,22,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,4,Male,Research Scientist,2,Divorced,2328,1,Yes,16,3,1,1,4,2,2,4,2,2,2
286,36,No,Travel_Frequently,Research & Development,18,1,Medical,1,2,Female,Laboratory Technician,4,Single,2153,1,No,13,3,1,0,8,2,3,8,1,1,7
287,40,No,Non-Travel,Research & Development,9,5,Life Sciences,1,4,Male,Healthcare Representative,4,Married,4876,9,No,14,3,4,1,5,5,1,3,2,0,2
288,46,No,Travel_Rarely,Research & Development,1,4,Medical,1,4,Male,Healthcare Representative,1,Divorced,9396,7,No,16,3,3,1,17,3,3,4,2,0,3
291,32,Yes,Travel_Rarely,Sales,4,4,Medical,1,4,Male,Sales Executive,4,Married,10400,1,No,11,3,3,0,14,2,2,14,8,9,8
292,30,No,Non-Travel,Research & Development,1,1,Life Sciences,1,3,Male,Manufacturing Director,3,Single,8474,1,No,22,4,3,0,12,2,3,11,8,5,8
293,27,No,Travel_Frequently,Sales,20,3,Life Sciences,1,4,Female,Sales Executive,3,Single,9981,1,No,14,3,4,0,7,2,3,7,7,0,7
296,51,No,Travel_Rarely,Research & Development,8,4,Life Sciences,1,2,Male,Research Director,2,Married,12490,5,No,16,3,4,2,16,5,1,10,9,4,7
297,30,Yes,Travel_Rarely,Research & Development,3,3,Technical Degree,1,4,Female,Research Scientist,1,Single,2657,5,Yes,11,3,3,0,8,5,3,5,2,0,4
298,41,No,Travel_Rarely,Sales,6,3,Life Sciences,1,4,Female,Manager,4,Single,13591,3,Yes,18,3,3,0,16,3,3,1,0,0,0
299,30,Yes,Travel_Frequently,Sales,26,4,Marketing,1,3,Female,Sales Executive,1,Single,6696,5,No,15,3,3,0,9,5,2,6,3,0,1
300,29,Yes,Travel_Rarely,Research & Development,1,3,Technical Degree,1,3,Male,Research Scientist,3,Single,2058,0,No,14,3,4,0,7,1,2,6,2,1,5
302,45,No,Non-Travel,Sales,6,3,Medical,1,4,Female,Sales Executive,4,Single,8865,6,No,12,3,4,0,23,2,3,19,7,12,8
303,54,No,Travel_Rarely,Sales,3,3,Marketing,1,4,Female,Sales Executive,1,Married,5940,2,No,14,3,4,1,16,4,3,6,2,0,5
304,36,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,4,Male,Laboratory Technician,2,Single,5914,8,No,16,3,4,0,16,3,4,13,11,3,7
305,33,No,Travel_Rarely,Research & Development,4,4,Medical,1,3,Female,Research Scientist,2,Married,2622,6,No,21,4,4,0,7,3,3,3,2,1,1
306,37,No,Travel_Frequently,Research & Development,11,3,Other,1,2,Male,Research Director,4,Divorced,12185,1,Yes,14,3,3,3,10,1,3,10,8,0,7
307,38,No,Travel_Rarely,Sales,3,3,Life Sciences,1,1,Male,Sales Executive,3,Divorced,10609,0,No,12,3,3,2,17,6,2,16,10,5,13
308,31,No,Non-Travel,Research & Development,1,4,Medical,1,3,Male,Manufacturing Director,3,Married,4345,0,No,12,3,4,1,6,2,3,5,4,1,4
309,59,No,Travel_Rarely,Research & Development,3,3,Life Sciences,1,3,Male,Research Scientist,4,Married,2177,3,No,17,3,1,1,7,6,3,1,0,0,0
311,37,No,Travel_Frequently,Sales,4,4,Marketing,1,1,Male,Sales Representative,4,Divorced,2793,4,No,17,3,3,1,13,2,3,9,8,5,8
312,29,No,Travel_Frequently,Sales,1,1,Medical,1,2,Female,Sales Executive,4,Married,7918,1,No,14,3,4,1,11,5,3,11,10,4,1
314,35,No,Travel_Frequently,Sales,1,3,Marketing,1,3,Female,Sales Executive,3,Single,8789,1,No,14,3,1,0,10,3,4,10,7,0,8
315,29,Yes,Travel_Rarely,Research & Development,18,1,Medical,1,3,Male,Research Scientist,4,Single,2389,1,Yes,13,3,3,0,4,3,2,4,3,0,1
316,52,No,Travel_Rarely,Research & Development,2,3,Life Sciences,1,3,Female,Laboratory Technician,4,Single,3212,7,No,15,3,2,0,6,3,2,2,2,2,2
319,42,No,Travel_Rarely,Research & Development,4,2,Technical Degree,1,3,Male,Manager,4,Married,19232,1,No,11,3,4,0,22,3,3,22,17,11,15
321,59,No,Travel_Rarely,Human Resources,6,2,Medical,1,2,Male,Human Resources,3,Married,2267,8,No,17,3,4,0,7,2,2,2,2,2,2
323,50,No,Travel_Rarely,Sales,1,4,Medical,1,4,Female,Manager,4,Divorced,19517,3,No,11,3,3,1,32,3,2,7,0,0,6
325,33,Yes,Travel_Rarely,Research & Development,14,3,Medical,1,3,Male,Laboratory Technician,4,Married,2436,5,Yes,13,3,3,1,8,2,1,5,4,0,4
327,43,No,Travel_Rarely,Sales,16,3,Marketing,1,4,Female,Manager,4,Married,16064,5,Yes,22,4,3,1,22,3,3,17,13,1,9
328,33,Yes,Travel_Rarely,Research & Development,2,2,Life Sciences,1,1,Female,Laboratory Technician,1,Married,2707,7,No,20,4,1,0,13,3,4,9,7,1,7
329,52,No,Non-Travel,Sales,2,4,Life Sciences,1,1,Male,Manager,3,Single,19068,1,Yes,18,3,4,0,33,2,4,33,7,15,12
330,32,No,Travel_Rarely,Sales,4,2,Life Sciences,1,3,Female,Sales Representative,2,Married,3931,2,No,11,3,1,1,6,5,3,4,3,1,2
331,32,Yes,Travel_Rarely,Research & Development,1,3,Life Sciences,1,4,Male,Laboratory Technician,3,Single,3730,0,Yes,14,3,4,0,4,2,1,3,2,1,2
332,39,No,Travel_Rarely,Research & Development,1,4,Medical,1,3,Female,Laboratory Technician,3,Divorced,2232,7,No,14,3,3,3,7,1,3,3,2,1,2
333,32,No,Non-Travel,Sales,26,4,Marketing,1,3,Male,Sales Executive,4,Married,4465,0,No,18,3,1,0,4,2,3,3,2,2,2
334,41,No,Travel_Rarely,Research & Development,19,2,Life Sciences,1,3,Male,Research Scientist,1,Divorced,3072,2,No,16,3,1,2,17,2,2,1,0,0,0
335,40,No,Travel_Rarely,Research & Development,24,2,Technical Degree,1,1,Male,Research Scientist,4,Divorced,3319,1,No,17,3,1,2,9,3,3,9,8,4,7
336,45,No,Travel_Rarely,Research & Development,1,3,Other,1,3,Male,Manager,4,Married,19202,0,No,11,3,3,1,25,2,3,24,0,1,7
337,31,No,Travel_Frequently,Research & Development,3,4,Medical,1,2,Male,Research Director,3,Divorced,13675,9,No,12,3,1,1,9,3,3,2,2,2,2
338,33,No,Travel_Rarely,Research & Development,5,4,Life Sciences,1,3,Female,Research Scientist,4,Married,2911,1,No,13,3,3,1,2,2,2,2,2,0,2
339,34,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,4,Male,Manufacturing Director,1,Married,5957,6,No,13,3,2,1,13,3,3,11,9,5,9
340,37,No,Travel_Rarely,Research & Development,1,2,Medical,1,3,Female,Research Scientist,1,Married,3920,2,No,14,3,1,1,17,2,2,3,1,0,2
341,45,No,Travel_Frequently,Research & Development,7,4,Life Sciences,1,1,Male,Manufacturing Director,3,Married,6434,4,No,17,3,4,1,9,1,3,3,2,0,2
342,37,Yes,Travel_Frequently,Research & Development,10,3,Medical,1,1,Male,Manufacturing Director,3,Divorced,10048,6,No,11,3,2,2,17,5,3,1,0,0,0
343,39,No,Travel_Frequently,Research & Development,2,4,Technical Degree,1,3,Female,Healthcare Representative,3,Single,10938,0,No,25,4,4,0,20,1,3,19,6,11,8
346,29,No,Travel_Rarely,Research & Development,15,3,Life Sciences,1,3,Male,Research Scientist,4,Single,2340,1,No,19,3,1,0,6,1,3,6,5,1,5
347,42,No,Travel_Rarely,Research & Development,17,2,Life Sciences,1,4,Female,Research Scientist,1,Single,6545,3,Yes,13,3,3,0,10,1,3,3,2,0,2
349,29,No,Travel_Rarely,Sales,20,2,Marketing,1,4,Male,Sales Executive,4,Divorced,6931,2,No,14,3,4,1,10,2,3,3,2,0,2
350,25,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,1,Female,Manufacturing Director,3,Married,4898,0,No,12,3,4,2,5,3,3,4,2,1,2
351,42,No,Travel_Rarely,Research & Development,2,3,Medical,1,4,Female,Laboratory Technician,1,Divorced,2593,0,Yes,11,3,3,1,10,4,3,9,6,7,8
352,40,No,Travel_Rarely,Research & Development,2,2,Medical,1,1,Male,Research Director,3,Divorced,19436,0,No,19,3,4,1,22,5,3,21,7,3,9
353,51,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,3,Male,Research Scientist,4,Married,2723,1,No,11,3,2,0,1,0,2,1,0,0,0
355,31,Yes,Travel_Frequently,Research & Development,29,2,Medical,1,3,Male,Laboratory Technician,2,Single,3479,0,No,11,3,2,0,6,2,4,5,4,1,4
359,32,No,Travel_Frequently,Research & Development,7,3,Life Sciences,1,2,Male,Laboratory Technician,2,Married,2794,1,No,20,4,3,0,5,3,1,5,1,0,3
361,38,No,Non-Travel,Sales,2,2,Life Sciences,1,4,Male,Sales Executive,4,Married,5249,3,No,18,3,4,1,13,0,3,8,7,7,5
362,32,No,Travel_Rarely,Research & Development,2,1,Technical Degree,1,4,Male,Laboratory Technician,1,Single,2176,4,No,13,3,4,0,9,5,3,6,2,0,4
363,46,No,Travel_Rarely,Sales,2,3,Technical Degree,1,3,Female,Manager,2,Married,16872,3,Yes,12,3,2,1,28,2,2,7,7,7,7
364,28,Yes,Travel_Rarely,Research & Development,2,4,Life Sciences,1,1,Male,Laboratory Technician,3,Single,3485,2,No,11,3,3,0,5,5,1,0,0,0,0
366,29,No,Travel_Rarely,Sales,2,3,Medical,1,1,Male,Sales Executive,2,Married,6644,2,No,19,3,2,2,10,2,3,0,0,0,0
367,31,No,Travel_Rarely,Research & Development,23,3,Medical,1,2,Male,Healthcare Representative,4,Married,5582,0,No,21,4,2,1,10,2,3,9,0,7,8
369,25,No,Non-Travel,Research & Development,5,2,Life Sciences,1,2,Male,Healthcare Representative,1,Divorced,4000,1,No,12,3,4,2,6,2,3,6,3,1,5
372,45,No,Travel_Rarely,Research & Development,20,2,Medical,1,3,Male,Healthcare Representative,4,Married,13496,0,Yes,14,3,2,0,21,2,3,20,7,4,10
373,36,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,4,Male,Laboratory Technician,4,Married,3210,0,No,11,3,3,1,16,4,3,15,13,10,11
374,55,No,Travel_Rarely,Research & Development,1,3,Medical,1,4,Male,Manager,1,Single,19045,0,Yes,14,3,3,0,37,2,3,36,10,4,13
376,47,Yes,Non-Travel,Research & Development,29,4,Life Sciences,1,1,Male,Manager,2,Married,11849,1,Yes,12,3,4,1,10,2,2,10,7,9,9
377,28,No,Travel_Rarely,Research & Development,9,3,Medical,1,4,Male,Research Scientist,4,Married,2070,1,No,23,4,4,1,5,3,2,5,2,0,4
378,37,No,Travel_Rarely,Sales,6,4,Medical,1,3,Male,Sales Executive,4,Married,6502,4,No,14,3,2,1,7,5,4,5,4,0,1
379,21,No,Travel_Rarely,Research & Development,3,2,Medical,1,4,Male,Research Scientist,3,Single,3230,1,No,17,3,1,0,3,4,4,3,2,1,0
380,37,No,Non-Travel,Research & Development,1,4,Medical,1,1,Female,Research Director,4,Divorced,13603,2,Yes,18,3,1,2,15,2,3,5,2,0,2
381,35,No,Travel_Rarely,Research & Development,22,3,Life Sciences,1,2,Female,Manager,2,Divorced,11996,7,No,18,3,2,1,10,6,2,7,7,6,2
382,38,No,Travel_Rarely,Sales,7,2,Medical,1,1,Female,Sales Executive,1,Divorced,5605,1,Yes,24,4,3,1,8,3,3,8,0,7,7
384,26,No,Travel_Frequently,Research & Development,1,3,Life Sciences,1,3,Female,Manufacturing Director,2,Divorced,6397,1,No,20,4,1,1,6,6,1,6,5,1,4
385,50,No,Travel_Rarely,Research & Development,4,1,Life Sciences,1,1,Male,Research Director,2,Divorced,19144,3,No,14,3,1,2,28,4,2,10,4,1,6
386,53,No,Travel_Rarely,Research & Development,3,4,Medical,1,3,Male,Research Director,3,Married,17584,3,Yes,16,3,4,3,21,5,2,5,3,1,3
387,42,No,Travel_Rarely,Sales,1,1,Life Sciences,1,2,Male,Sales Executive,3,Married,4907,1,No,25,4,3,0,20,3,3,20,16,11,6
388,29,No,Travel_Frequently,Sales,2,2,Life Sciences,1,2,Male,Sales Executive,4,Single,4554,1,No,18,3,1,0,10,3,2,10,7,0,9
389,55,No,Travel_Rarely,Research & Development,20,2,Technical Degree,1,2,Male,Laboratory Technician,4,Married,5415,3,Yes,19,3,4,1,12,4,3,10,7,0,8
390,26,No,Travel_Frequently,Research & Development,11,2,Medical,1,1,Male,Healthcare Representative,1,Married,4741,1,Yes,13,3,3,1,5,3,3,5,3,3,3
391,37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,4,Female,Research Scientist,4,Single,2115,1,No,12,3,2,0,17,3,3,17,12,5,7
392,44,Yes,Travel_Frequently,Research & Development,24,3,Life Sciences,1,4,Male,Laboratory Technician,3,Divorced,3161,3,Yes,22,4,4,1,19,0,1,1,0,0,0
393,38,No,Travel_Rarely,Research & Development,23,4,Life Sciences,1,4,Male,Healthcare Representative,4,Divorced,5745,9,No,14,3,2,1,10,2,3,2,2,1,2
394,26,Yes,Travel_Rarely,Research & Development,16,4,Medical,1,1,Male,Laboratory Technician,2,Divorced,2373,2,Yes,13,3,4,1,5,2,3,3,2,0,2
395,28,No,Travel_Rarely,Research & Development,8,2,Life Sciences,1,4,Female,Research Scientist,4,Single,3310,1,No,21,4,4,0,5,3,3,5,3,0,2
396,49,No,Travel_Frequently,Research & Development,10,4,Life Sciences,1,3,Female,Research Director,1,Single,18665,9,Yes,11,3,4,0,22,4,3,3,2,1,2
397,36,No,Travel_Rarely,Research & Development,3,3,Technical Degree,1,3,Male,Research Scientist,2,Single,4485,4,No,12,3,4,0,10,2,3,8,0,7,7
399,31,No,Travel_Frequently,Sales,5,3,Marketing,1,4,Female,Sales Representative,2,Divorced,2789,1,No,11,3,3,1,2,5,2,2,2,2,2
401,26,Yes,Travel_Rarely,Sales,4,4,Marketing,1,4,Male,Sales Executive,4,Single,5828,1,Yes,12,3,2,0,8,0,3,8,7,7,4
403,37,No,Travel_Frequently,Research & Development,9,3,Medical,1,2,Male,Research Scientist,4,Married,2326,1,Yes,12,3,3,3,4,3,2,4,2,1,2
404,42,No,Travel_Frequently,Sales,26,3,Marketing,1,3,Female,Sales Executive,2,Married,13525,5,No,14,3,4,1,23,2,4,20,4,4,8
405,18,Yes,Travel_Rarely,Research & Development,3,3,Life Sciences,1,3,Male,Laboratory Technician,3,Single,1420,1,No,13,3,3,0,0,2,3,0,0,0,0
406,35,No,Travel_Rarely,Sales,16,3,Marketing,1,3,Male,Sales Executive,2,Married,8020,0,No,15,3,3,2,12,3,2,11,9,6,9
407,36,No,Travel_Frequently,Research & Development,18,4,Life Sciences,1,3,Male,Laboratory Technician,4,Married,3688,4,No,18,3,4,2,4,2,3,1,0,0,0
408,51,No,Travel_Rarely,Research & Development,2,3,Medical,1,4,Male,Manufacturing Director,2,Divorced,5482,5,No,18,3,4,1,13,3,3,4,1,1,2
410,41,No,Travel_Rarely,Sales,2,4,Life Sciences,1,4,Male,Manager,2,Single,16015,1,No,19,3,2,0,22,2,3,22,10,0,4
411,18,No,Travel_Rarely,Sales,10,3,Medical,1,4,Female,Sales Representative,3,Single,1200,1,No,12,3,1,0,0,2,3,0,0,0,0
412,28,No,Travel_Rarely,Research & Development,16,2,Medical,1,2,Male,Healthcare Representative,1,Single,5661,0,No,19,3,3,0,9,2,3,8,3,0,7
416,31,No,Travel_Rarely,Sales,7,3,Technical Degree,1,2,Male,Sales Executive,4,Married,6929,4,No,11,3,2,1,10,3,2,8,7,7,7
417,39,No,Travel_Rarely,Research & Development,1,3,Medical,1,3,Male,Healthcare Representative,4,Divorced,9613,0,No,17,3,1,3,19,5,2,18,10,3,7
419,36,No,Non-Travel,Research & Development,24,4,Life Sciences,1,2,Female,Laboratory Technician,2,Married,5674,7,No,15,3,3,1,11,3,3,9,8,0,8
420,32,No,Travel_Rarely,Sales,7,3,Life Sciences,1,4,Male,Sales Executive,3,Married,5484,1,No,14,3,3,1,13,3,2,13,8,4,8
421,38,No,Travel_Rarely,Research & Development,25,2,Life Sciences,1,1,Female,Research Director,2,Married,12061,3,No,17,3,3,1,19,2,3,10,8,0,1
422,58,No,Non-Travel,Research & Development,1,4,Life Sciences,1,4,Male,Healthcare Representative,3,Divorced,5660,2,Yes,13,3,4,1,12,2,3,5,3,1,2
423,31,No,Travel_Rarely,Research & Development,5,4,Technical Degree,1,3,Male,Research Scientist,4,Married,4821,0,Yes,12,3,3,1,6,4,3,5,2,0,3
424,31,No,Travel_Rarely,Human Resources,2,3,Human Resources,1,1,Male,Human Resources,1,Married,6410,3,No,12,3,4,0,9,1,3,2,2,1,0
425,45,No,Travel_Frequently,Research & Development,7,3,Life Sciences,1,1,Male,Laboratory Technician,1,Divorced,5210,1,No,18,3,1,1,24,2,3,24,9,9,11
426,31,No,Travel_Rarely,Research & Development,2,4,Life Sciences,1,3,Male,Research Scientist,4,Divorced,2695,0,Yes,18,3,2,1,3,2,1,2,2,2,2
428,33,No,Travel_Frequently,Research & Development,5,4,Life Sciences,1,4,Female,Manager,2,Married,11878,6,No,11,3,2,2,12,2,3,10,6,8,8
429,39,No,Travel_Rarely,Research & Development,10,1,Medical,1,3,Male,Manager,1,Married,17068,1,Yes,14,3,4,0,21,3,3,21,9,11,10
430,43,No,Travel_Frequently,Research & Development,10,4,Life Sciences,1,3,Female,Laboratory Technician,4,Single,2455,0,No,19,3,1,0,9,5,3,8,7,1,7
431,49,No,Travel_Rarely,Research & Development,1,2,Technical Degree,1,3,Female,Healthcare Representative,3,Single,13964,7,Yes,12,3,4,0,25,2,3,7,1,0,7
433,52,Yes,Travel_Rarely,Research & Development,8,4,Medical,1,3,Male,Research Scientist,2,Married,4941,2,No,15,3,1,0,11,3,2,8,2,7,7
434,27,No,Travel_Rarely,Research & Development,5,3,Life Sciences,1,3,Female,Research Scientist,2,Single,2478,1,Yes,12,3,2,0,4,2,2,4,3,1,2
436,32,No,Travel_Rarely,Sales,8,2,Technical Degree,1,3,Female,Sales Executive,2,Married,5228,1,Yes,11,3,4,0,13,2,3,13,12,11,9
437,27,No,Travel_Rarely,Sales,2,3,Life Sciences,1,4,Male,Sales Executive,3,Single,4478,1,Yes,11,3,1,0,5,3,3,5,4,0,4
438,31,No,Travel_Rarely,Sales,7,3,Marketing,1,4,Male,Sales Executive,4,Divorced,7547,4,No,12,3,4,3,13,3,3,7,7,1,7
439,32,No,Travel_Rarely,Research & Development,2,4,Medical,1,1,Female,Research Scientist,4,Single,5055,7,No,16,3,3,0,10,0,2,7,7,0,7
440,28,Yes,Travel_Rarely,Research & Development,2,4,Medical,1,1,Male,Research Scientist,4,Married,3464,5,Yes,13,3,4,0,5,4,2,3,2,2,2
441,30,No,Travel_Rarely,Research & Development,28,2,Medical,1,4,Female,Research Scientist,4,Married,5775,1,No,13,3,4,2,11,2,3,10,8,1,9
442,31,No,Travel_Frequently,Research & Development,7,2,Life Sciences,1,3,Female,Manufacturing Director,3,Married,8943,1,No,24,4,1,1,10,2,3,10,9,8,9
444,39,No,Travel_Frequently,Research & Development,7,2,Medical,1,3,Male,Manager,4,Married,19272,1,No,15,3,1,1,21,2,3,21,9,13,3
445,39,Yes,Travel_Rarely,Sales,3,2,Medical,1,4,Female,Sales Executive,3,Married,5238,4,Yes,18,3,1,0,12,3,2,1,0,0,0
446,33,No,Travel_Frequently,Sales,10,3,Marketing,1,2,Male,Sales Executive,4,Single,4682,3,No,14,3,3,0,9,6,2,7,7,0,1
447,47,No,Travel_Rarely,Research & Development,5,5,Life Sciences,1,4,Male,Research Director,3,Married,18300,4,No,11,3,2,1,21,2,3,3,2,1,1
448,43,No,Travel_Frequently,Research & Development,10,4,Life Sciences,1,3,Female,Laboratory Technician,3,Divorced,5257,1,No,11,3,2,1,9,3,4,9,7,0,0
449,27,No,Non-Travel,Sales,1,1,Marketing,1,3,Male,Sales Executive,2,Married,6349,0,Yes,13,3,4,1,6,0,3,5,4,1,4
450,54,No,Travel_Frequently,Research & Development,20,4,Life Sciences,1,4,Female,Research Scientist,3,Single,4869,3,No,12,3,4,0,20,4,2,4,3,0,3
451,43,No,Travel_Rarely,Research & Development,7,3,Life Sciences,1,3,Female,Healthcare Representative,1,Married,9985,8,No,16,3,1,1,10,1,2,1,0,0,0
452,45,No,Travel_Rarely,Research & Development,8,4,Other,1,4,Male,Research Scientist,4,Married,3697,9,No,14,3,1,2,12,3,3,10,9,9,8
453,40,No,Travel_Rarely,Sales,1,2,Medical,1,2,Male,Sales Executive,4,Married,7457,2,Yes,22,4,3,3,6,2,2,4,3,0,2
454,29,Yes,Travel_Rarely,Research & Development,8,4,Other,1,2,Male,Laboratory Technician,1,Married,2119,1,Yes,11,3,4,0,7,4,2,7,7,0,7
455,29,No,Travel_Rarely,Research & Development,9,5,Other,1,2,Male,Laboratory Technician,4,Single,3983,0,No,17,3,3,0,4,2,3,3,2,2,2
456,30,No,Travel_Rarely,Sales,5,3,Marketing,1,4,Female,Sales Executive,3,Divorced,6118,1,No,13,3,3,3,10,2,3,10,9,1,2
458,27,No,Travel_Rarely,Sales,8,4,Marketing,1,2,Female,Sales Executive,2,Married,6214,1,No,18,3,1,1,8,3,3,8,7,0,7
460,37,No,Travel_Rarely,Research & Development,5,2,Medical,1,4,Male,Manufacturing Director,4,Divorced,6347,7,No,16,3,3,2,8,2,2,6,2,0,4
461,38,No,Travel_Rarely,Research & Development,15,2,Life Sciences,1,3,Male,Research Director,4,Divorced,11510,0,Yes,14,3,2,1,12,3,3,11,10,2,9
